equipment_id,equipment_type,rental_price_per_day,min_rental_price,max_rental_price,unit,snapshot_date
EQ000062,Sprayer,266,200,500,per day,2025-09-17
EQ000063,Rotavator,545,400,1000,per day,2025-09-17
EQ000064,Leveller,915,800,1500,per day,2025-09-17
EQ000065,Harvester,4759,3000,6000,per day,2025-09-17
EQ000066,Mulcher,1055,900,1600,per day,2025-09-17
EQ000067,Mulcher,1293,900,1600,per day,2025-09-17
EQ000068,Pumpset,543,300,800,per day,2025-09-17
EQ000069,Disc Harrow,701,500,1000,per day,2025-09-17
EQ000070,Baler,2000,2000,3500,per day,2025-09-17
EQ000071,Thresher,833,600,1200,per day,2025-09-17
EQ000072,Mulcher,1223,900,1600,per day,2025-09-17
EQ000073,Thresher,841,600,1200,per day,2025-09-17
EQ000074,Tractor,1546,1000,2000,per day,2025-09-17
EQ000075,Weeder,408,250,600,per day,2025-09-17
EQ000076,Mulcher,1290,900,1600,per day,2025-09-17
EQ000077,Tractor,1774,1000,2000,per day,2025-09-17
EQ000078,Rotavator,762,400,1000,per day,2025-09-17
EQ000079,Mulcher,1410,900,1600,per day,2025-09-17
EQ000080,Pumpset,399,300,800,per day,2025-09-17
EQ000081,Mulcher,1094,900,1600,per day,2025-09-17
EQ000082,Cultivator,695,400,900,per day,2025-09-17
EQ000083,Cultivator,578,400,900,per day,2025-09-17
EQ000084,Tractor,1709,1000,2000,per day,2025-09-17
EQ000085,Reaper,2077,1500,2500,per day,2025-09-17
EQ000086,Disc Harrow,694,500,1000,per day,2025-09-17
EQ000087,Harvester,4631,3000,6000,per day,2025-09-17
EQ000088,Rotavator,832,400,1000,per day,2025-09-17
EQ000089,Disc Harrow,704,500,1000,per day,2025-09-17
EQ000090,Mulcher,1017,900,1600,per day,2025-09-17
EQ000091,Tractor,1788,1000,2000,per day,2025-09-17
EQ000092,Reaper,1783,1500,2500,per day,2025-09-17
EQ000093,Power Tiller,788,500,1200,per day,2025-09-17
EQ000094,Harvester,5134,3000,6000,per day,2025-09-17
EQ000095,Weeder,404,250,600,per day,2025-09-17
EQ000096,Baler,2887,2000,3500,per day,2025-09-17
EQ000097,Sprayer,330,200,500,per day,2025-09-17
EQ000098,Disc Harrow,781,500,1000,per day,2025-09-17
EQ000099,Tractor,1914,1000,2000,per day,2025-09-17
EQ000100,Baler,2507,2000,3500,per day,2025-09-17
EQ000101,Cultivator,625,400,900,per day,2025-09-17
EQ000102,Pumpset,473,300,800,per day,2025-09-17
EQ000103,Plough,472,300,800,per day,2025-09-17
EQ000104,Cultivator,623,400,900,per day,2025-09-17
EQ000105,Seed Drill,753,400,900,per day,2025-09-17
EQ000106,Thresher,992,600,1200,per day,2025-09-17
EQ000107,Baler,2777,2000,3500,per day,2025-09-17
EQ000108,Disc Harrow,756,500,1000,per day,2025-09-17
EQ000109,Tractor,2000,1000,2000,per day,2025-09-17
EQ000110,Mulcher,1336,900,1600,per day,2025-09-17
EQ000111,Power Tiller,843,500,1200,per day,2025-09-17
EQ000112,Thresher,1004,600,1200,per day,2025-09-17
EQ000113,Harvester,5063,3000,6000,per day,2025-09-17
EQ000114,Harvester,5246,3000,6000,per day,2025-09-17
EQ000115,Seed Drill,637,400,900,per day,2025-09-17
EQ000116,Thresher,825,600,1200,per day,2025-09-17
EQ000117,Cultivator,594,400,900,per day,2025-09-17
EQ000118,Pumpset,483,300,800,per day,2025-09-17
EQ000119,Pumpset,471,300,800,per day,2025-09-17
EQ000120,Seed Drill,777,400,900,per day,2025-09-17
EQ000121,Sprayer,373,200,500,per day,2025-09-17
EQ000122,Seed Drill,748,400,900,per day,2025-09-17
EQ000123,Harvester,4740,3000,6000,per day,2025-09-17
EQ000124,Sprayer,202,200,500,per day,2025-09-17
EQ000125,Thresher,983,600,1200,per day,2025-09-17
EQ000126,Leveller,800,800,1500,per day,2025-09-17
EQ000127,Weeder,400,250,600,per day,2025-09-17
EQ000128,Leveller,1066,800,1500,per day,2025-09-17
EQ000129,Sprayer,295,200,500,per day,2025-09-17
EQ000130,Sprayer,328,200,500,per day,2025-09-17
EQ000131,Harvester,4177,3000,6000,per day,2025-09-17
EQ000132,Reaper,1901,1500,2500,per day,2025-09-17
EQ000133,Seed Drill,667,400,900,per day,2025-09-17
EQ000134,Reaper,2092,1500,2500,per day,2025-09-17
EQ000135,Cultivator,400,400,900,per day,2025-09-17
EQ000136,Leveller,996,800,1500,per day,2025-09-17
EQ000137,Leveller,1106,800,1500,per day,2025-09-17
EQ000138,Disc Harrow,786,500,1000,per day,2025-09-17
EQ000139,Baler,2403,2000,3500,per day,2025-09-17
EQ000140,Leveller,813,800,1500,per day,2025-09-17
EQ000141,Cultivator,675,400,900,per day,2025-09-17
EQ000142,Leveller,1193,800,1500,per day,2025-09-17
EQ000143,Cultivator,578,400,900,per day,2025-09-17
EQ000144,Disc Harrow,700,500,1000,per day,2025-09-17
EQ000145,Thresher,917,600,1200,per day,2025-09-17
EQ000146,Rotavator,799,400,1000,per day,2025-09-17
EQ000147,Seed Drill,698,400,900,per day,2025-09-17
EQ000148,Leveller,1006,800,1500,per day,2025-09-17
EQ000149,Mulcher,1532,900,1600,per day,2025-09-17
EQ000150,Rotavator,500,400,1000,per day,2025-09-17
EQ000151,Cultivator,641,400,900,per day,2025-09-17
EQ000152,Harvester,4914,3000,6000,per day,2025-09-17
EQ000153,Rotavator,647,400,1000,per day,2025-09-17
EQ000154,Rotavator,655,400,1000,per day,2025-09-17
EQ000155,Mulcher,1230,900,1600,per day,2025-09-17
EQ000156,Weeder,334,250,600,per day,2025-09-17
EQ000157,Pumpset,512,300,800,per day,2025-09-17
EQ000158,Baler,2324,2000,3500,per day,2025-09-17
EQ000159,Disc Harrow,795,500,1000,per day,2025-09-17
EQ000160,Disc Harrow,826,500,1000,per day,2025-09-17
EQ000161,Seed Drill,674,400,900,per day,2025-09-17
EQ000162,Plough,566,300,800,per day,2025-09-17
EQ000163,Seed Drill,703,400,900,per day,2025-09-17
EQ000164,Baler,2622,2000,3500,per day,2025-09-17
EQ000165,Plough,535,300,800,per day,2025-09-17
EQ000166,Power Tiller,814,500,1200,per day,2025-09-17
EQ000167,Tractor,1899,1000,2000,per day,2025-09-17
EQ000168,Weeder,310,250,600,per day,2025-09-17
EQ000169,Rotavator,811,400,1000,per day,2025-09-17
EQ000170,Power Tiller,895,500,1200,per day,2025-09-17
EQ000171,Thresher,825,600,1200,per day,2025-09-17
EQ000172,Weeder,487,250,600,per day,2025-09-17
EQ000173,Rotavator,744,400,1000,per day,2025-09-17
EQ000174,Disc Harrow,745,500,1000,per day,2025-09-17
EQ000175,Baler,2139,2000,3500,per day,2025-09-17
EQ000176,Sprayer,355,200,500,per day,2025-09-17
EQ000177,Reaper,1766,1500,2500,per day,2025-09-17
EQ000178,Plough,658,300,800,per day,2025-09-17
EQ000179,Power Tiller,825,500,1200,per day,2025-09-17
EQ000180,Baler,2213,2000,3500,per day,2025-09-17
EQ000181,Cultivator,647,400,900,per day,2025-09-17
EQ000182,Thresher,881,600,1200,per day,2025-09-17
EQ000183,Harvester,4865,3000,6000,per day,2025-09-17
EQ000184,Pumpset,597,300,800,per day,2025-09-17
EQ000185,Plough,370,300,800,per day,2025-09-17
EQ000186,Baler,2511,2000,3500,per day,2025-09-17
EQ000187,Power Tiller,613,500,1200,per day,2025-09-17
EQ000188,Weeder,348,250,600,per day,2025-09-17
EQ000189,Power Tiller,797,500,1200,per day,2025-09-17
EQ000190,Cultivator,631,400,900,per day,2025-09-17
EQ000191,Weeder,348,250,600,per day,2025-09-17
EQ000192,Baler,2223,2000,3500,per day,2025-09-17
EQ000193,Disc Harrow,554,500,1000,per day,2025-09-17
EQ000194,Power Tiller,817,500,1200,per day,2025-09-17
EQ000195,Seed Drill,612,400,900,per day,2025-09-17
EQ000196,Power Tiller,635,500,1200,per day,2025-09-17
EQ000197,Baler,2517,2000,3500,per day,2025-09-17
EQ000198,Plough,326,300,800,per day,2025-09-17
EQ000199,Plough,417,300,800,per day,2025-09-17
EQ000200,Tractor,1892,1000,2000,per day,2025-09-17
EQ000201,Weeder,383,250,600,per day,2025-09-17
EQ000202,Sprayer,306,200,500,per day,2025-09-17
EQ000203,Pumpset,438,300,800,per day,2025-09-17
EQ000204,Power Tiller,827,500,1200,per day,2025-09-17
EQ000205,Power Tiller,752,500,1200,per day,2025-09-17
EQ000206,Reaper,2075,1500,2500,per day,2025-09-17
EQ000207,Baler,2820,2000,3500,per day,2025-09-17
EQ000208,Sprayer,311,200,500,per day,2025-09-17
EQ000209,Sprayer,398,200,500,per day,2025-09-17
EQ000210,Disc Harrow,679,500,1000,per day,2025-09-17
EQ000211,Tractor,2000,1000,2000,per day,2025-09-17
EQ000212,Sprayer,315,200,500,per day,2025-09-17
EQ000213,Harvester,4198,3000,6000,per day,2025-09-17
EQ000214,Disc Harrow,703,500,1000,per day,2025-09-17
EQ000215,Cultivator,502,400,900,per day,2025-09-17
EQ000216,Thresher,827,600,1200,per day,2025-09-17
EQ000217,Pumpset,439,300,800,per day,2025-09-17
EQ000218,Seed Drill,536,400,900,per day,2025-09-17
EQ000219,Seed Drill,845,400,900,per day,2025-09-17
EQ000220,Tractor,1959,1000,2000,per day,2025-09-17
EQ000221,Mulcher,1260,900,1600,per day,2025-09-17
EQ000222,Mulcher,1255,900,1600,per day,2025-09-17
EQ000223,Sprayer,340,200,500,per day,2025-09-17
EQ000224,Tractor,1768,1000,2000,per day,2025-09-17
EQ000225,Rotavator,665,400,1000,per day,2025-09-17
EQ000226,Disc Harrow,768,500,1000,per day,2025-09-17
EQ000227,Mulcher,1099,900,1600,per day,2025-09-17
EQ000228,Rotavator,786,400,1000,per day,2025-09-17
EQ000229,Thresher,1047,600,1200,per day,2025-09-17
EQ000230,Thresher,986,600,1200,per day,2025-09-17
EQ000231,Baler,2458,2000,3500,per day,2025-09-17
EQ000232,Plough,511,300,800,per day,2025-09-17
EQ000233,Cultivator,488,400,900,per day,2025-09-17
EQ000234,Sprayer,200,200,500,per day,2025-09-17
EQ000235,Weeder,455,250,600,per day,2025-09-17
EQ000236,Reaper,2161,1500,2500,per day,2025-09-17
EQ000237,Weeder,356,250,600,per day,2025-09-17
EQ000238,Power Tiller,765,500,1200,per day,2025-09-17
EQ000239,Rotavator,869,400,1000,per day,2025-09-17
EQ000240,Cultivator,601,400,900,per day,2025-09-17
EQ000241,Mulcher,1186,900,1600,per day,2025-09-17
EQ000242,Pumpset,559,300,800,per day,2025-09-17
EQ000243,Reaper,2024,1500,2500,per day,2025-09-17
EQ000244,Baler,2381,2000,3500,per day,2025-09-17
EQ000245,Mulcher,1254,900,1600,per day,2025-09-17
EQ000246,Harvester,4188,3000,6000,per day,2025-09-17
EQ000247,Thresher,856,600,1200,per day,2025-09-17
EQ000248,Leveller,1084,800,1500,per day,2025-09-17
EQ000249,Seed Drill,699,400,900,per day,2025-09-17
EQ000250,Seed Drill,636,400,900,per day,2025-09-17
EQ000251,Baler,2594,2000,3500,per day,2025-09-17
EQ000252,Leveller,998,800,1500,per day,2025-09-17
EQ000253,Pumpset,416,300,800,per day,2025-09-17
EQ000254,Baler,3008,2000,3500,per day,2025-09-17
EQ000255,Disc Harrow,691,500,1000,per day,2025-09-17
EQ000256,Rotavator,617,400,1000,per day,2025-09-17
EQ000257,Reaper,1909,1500,2500,per day,2025-09-17
EQ000258,Plough,381,300,800,per day,2025-09-17
EQ000259,Seed Drill,567,400,900,per day,2025-09-17
EQ000260,Baler,2551,2000,3500,per day,2025-09-17
EQ000261,Tractor,1869,1000,2000,per day,2025-09-17
EQ000262,Cultivator,598,400,900,per day,2025-09-17
EQ000263,Plough,589,300,800,per day,2025-09-17
EQ000264,Weeder,515,250,600,per day,2025-09-17
EQ000265,Tractor,1947,1000,2000,per day,2025-09-17
EQ000266,Disc Harrow,633,500,1000,per day,2025-09-17
EQ000267,Rotavator,678,400,1000,per day,2025-09-17
EQ000268,Tractor,1695,1000,2000,per day,2025-09-17
EQ000269,Tractor,1645,1000,2000,per day,2025-09-17
EQ000270,Tractor,1605,1000,2000,per day,2025-09-17
EQ000271,Disc Harrow,774,500,1000,per day,2025-09-17
EQ000272,Seed Drill,525,400,900,per day,2025-09-17
EQ000273,Thresher,983,600,1200,per day,2025-09-17
EQ000274,Seed Drill,631,400,900,per day,2025-09-17
EQ000275,Cultivator,658,400,900,per day,2025-09-17
EQ000276,Tractor,1788,1000,2000,per day,2025-09-17
EQ000277,Weeder,403,250,600,per day,2025-09-17
EQ000278,Disc Harrow,726,500,1000,per day,2025-09-17
EQ000279,Plough,462,300,800,per day,2025-09-17
EQ000280,Seed Drill,628,400,900,per day,2025-09-17
EQ000281,Disc Harrow,757,500,1000,per day,2025-09-17
EQ000282,Rotavator,660,400,1000,per day,2025-09-17
EQ000283,Mulcher,1213,900,1600,per day,2025-09-17
EQ000284,Tractor,1800,1000,2000,per day,2025-09-17
EQ000285,Pumpset,535,300,800,per day,2025-09-17
EQ000286,Thresher,769,600,1200,per day,2025-09-17
EQ000287,Rotavator,844,400,1000,per day,2025-09-17
EQ000288,Disc Harrow,712,500,1000,per day,2025-09-17
EQ000289,Plough,460,300,800,per day,2025-09-17
EQ000290,Sprayer,365,200,500,per day,2025-09-17
EQ000291,Harvester,3203,3000,6000,per day,2025-09-17
EQ000292,Cultivator,646,400,900,per day,2025-09-17
EQ000293,Plough,531,300,800,per day,2025-09-17
EQ000294,Seed Drill,671,400,900,per day,2025-09-17
EQ000295,Thresher,886,600,1200,per day,2025-09-17
EQ000296,Leveller,972,800,1500,per day,2025-09-17
EQ000297,Leveller,855,800,1500,per day,2025-09-17
EQ000298,Reaper,1724,1500,2500,per day,2025-09-17
EQ000299,Cultivator,624,400,900,per day,2025-09-17
EQ000300,Cultivator,619,400,900,per day,2025-09-17
EQ000301,Weeder,405,250,600,per day,2025-09-17
EQ000302,Disc Harrow,866,500,1000,per day,2025-09-17
EQ000303,Seed Drill,704,400,900,per day,2025-09-17
EQ000304,Mulcher,1065,900,1600,per day,2025-09-17
EQ000305,Leveller,1156,800,1500,per day,2025-09-17
EQ000306,Rotavator,700,400,1000,per day,2025-09-17
EQ000307,Seed Drill,674,400,900,per day,2025-09-17
EQ000308,Harvester,4152,3000,6000,per day,2025-09-17
EQ000309,Tractor,2000,1000,2000,per day,2025-09-17
EQ000310,Seed Drill,704,400,900,per day,2025-09-17
EQ000311,Power Tiller,824,500,1200,per day,2025-09-17
EQ000312,Tractor,1912,1000,2000,per day,2025-09-17
EQ000313,Disc Harrow,754,500,1000,per day,2025-09-17
EQ000314,Rotavator,707,400,1000,per day,2025-09-17
EQ000315,Weeder,422,250,600,per day,2025-09-17
EQ000316,Plough,540,300,800,per day,2025-09-17
EQ000317,Reaper,2200,1500,2500,per day,2025-09-17
EQ000318,Sprayer,261,200,500,per day,2025-09-17
EQ000319,Harvester,4042,3000,6000,per day,2025-09-17
EQ000320,Power Tiller,939,500,1200,per day,2025-09-17
EQ000321,Weeder,348,250,600,per day,2025-09-17
EQ000322,Mulcher,1096,900,1600,per day,2025-09-17
EQ000323,Seed Drill,731,400,900,per day,2025-09-17
EQ000324,Plough,475,300,800,per day,2025-09-17
EQ000325,Tractor,1683,1000,2000,per day,2025-09-17
EQ000326,Pumpset,523,300,800,per day,2025-09-17
EQ000327,Mulcher,1340,900,1600,per day,2025-09-17
EQ000328,Cultivator,806,400,900,per day,2025-09-17
EQ000329,Mulcher,1118,900,1600,per day,2025-09-17
EQ000330,Rotavator,566,400,1000,per day,2025-09-17
EQ000331,Thresher,643,600,1200,per day,2025-09-17
EQ000332,Reaper,1713,1500,2500,per day,2025-09-17
EQ000333,Cultivator,647,400,900,per day,2025-09-17
EQ000334,Sprayer,310,200,500,per day,2025-09-17
EQ000335,Baler,2418,2000,3500,per day,2025-09-17
EQ000336,Harvester,3588,3000,6000,per day,2025-09-17
EQ000337,Cultivator,584,400,900,per day,2025-09-17
EQ000338,Leveller,939,800,1500,per day,2025-09-17
EQ000339,Baler,2943,2000,3500,per day,2025-09-17
EQ000340,Seed Drill,540,400,900,per day,2025-09-17
EQ000341,Thresher,1026,600,1200,per day,2025-09-17
EQ000342,Disc Harrow,633,500,1000,per day,2025-09-17
EQ000343,Sprayer,282,200,500,per day,2025-09-17
EQ000344,Disc Harrow,502,500,1000,per day,2025-09-17
EQ000345,Power Tiller,702,500,1200,per day,2025-09-17
EQ000346,Mulcher,1152,900,1600,per day,2025-09-17
EQ000347,Seed Drill,830,400,900,per day,2025-09-17
EQ000348,Harvester,4069,3000,6000,per day,2025-09-17
EQ000349,Harvester,4694,3000,6000,per day,2025-09-17
EQ000350,Thresher,896,600,1200,per day,2025-09-17
EQ000351,Leveller,830,800,1500,per day,2025-09-17
EQ000352,Thresher,994,600,1200,per day,2025-09-17
EQ000353,Thresher,948,600,1200,per day,2025-09-17
EQ000354,Power Tiller,831,500,1200,per day,2025-09-17
EQ000355,Cultivator,655,400,900,per day,2025-09-17
EQ000356,Mulcher,1208,900,1600,per day,2025-09-17
EQ000357,Cultivator,713,400,900,per day,2025-09-17
EQ000358,Mulcher,1270,900,1600,per day,2025-09-17
EQ000359,Weeder,413,250,600,per day,2025-09-17
EQ000360,Reaper,1859,1500,2500,per day,2025-09-17
EQ000361,Leveller,1028,800,1500,per day,2025-09-17
EQ000362,Mulcher,992,900,1600,per day,2025-09-17
EQ000363,Plough,362,300,800,per day,2025-09-17
EQ000364,Weeder,421,250,600,per day,2025-09-17
EQ000365,Plough,506,300,800,per day,2025-09-17
EQ000366,Sprayer,230,200,500,per day,2025-09-17
EQ000367,Cultivator,522,400,900,per day,2025-09-17
EQ000368,Plough,398,300,800,per day,2025-09-17
EQ000369,Sprayer,215,200,500,per day,2025-09-17
EQ000370,Disc Harrow,697,500,1000,per day,2025-09-17
EQ000371,Sprayer,357,200,500,per day,2025-09-17
EQ000372,Power Tiller,852,500,1200,per day,2025-09-17
EQ000373,Sprayer,214,200,500,per day,2025-09-17
EQ000374,Tractor,1800,1000,2000,per day,2025-09-17
EQ000375,Harvester,4773,3000,6000,per day,2025-09-17
EQ000376,Thresher,836,600,1200,per day,2025-09-17
EQ000377,Thresher,1055,600,1200,per day,2025-09-17
EQ000378,Power Tiller,867,500,1200,per day,2025-09-17
EQ000379,Plough,565,300,800,per day,2025-09-17
EQ000380,Tractor,1531,1000,2000,per day,2025-09-17
EQ000381,Leveller,1221,800,1500,per day,2025-09-17
EQ000382,Sprayer,215,200,500,per day,2025-09-17
EQ000383,Baler,2431,2000,3500,per day,2025-09-17
EQ000384,Power Tiller,732,500,1200,per day,2025-09-17
EQ000385,Leveller,928,800,1500,per day,2025-09-17
EQ000386,Pumpset,428,300,800,per day,2025-09-17
EQ000387,Reaper,2256,1500,2500,per day,2025-09-17
EQ000388,Disc Harrow,702,500,1000,per day,2025-09-17
EQ000389,Tractor,1871,1000,2000,per day,2025-09-17
EQ000390,Seed Drill,606,400,900,per day,2025-09-17
EQ000391,Tractor,1639,1000,2000,per day,2025-09-17
EQ000392,Weeder,570,250,600,per day,2025-09-17
EQ000393,Cultivator,611,400,900,per day,2025-09-17
EQ000394,Baler,2440,2000,3500,per day,2025-09-17
EQ000395,Plough,543,300,800,per day,2025-09-17
EQ000396,Cultivator,482,400,900,per day,2025-09-17
EQ000397,Tractor,1677,1000,2000,per day,2025-09-17
EQ000398,Tractor,1643,1000,2000,per day,2025-09-17
EQ000399,Power Tiller,725,500,1200,per day,2025-09-17
EQ000400,Pumpset,620,300,800,per day,2025-09-17
EQ000401,Weeder,379,250,600,per day,2025-09-17
EQ000402,Rotavator,630,400,1000,per day,2025-09-17
EQ000403,Harvester,3755,3000,6000,per day,2025-09-17
EQ000404,Leveller,1007,800,1500,per day,2025-09-17
EQ000405,Sprayer,317,200,500,per day,2025-09-17
EQ000406,Reaper,1920,1500,2500,per day,2025-09-17
EQ000407,Leveller,1090,800,1500,per day,2025-09-17
EQ000408,Tractor,1992,1000,2000,per day,2025-09-17
EQ000409,Baler,2619,2000,3500,per day,2025-09-17
EQ000410,Weeder,438,250,600,per day,2025-09-17
EQ000411,Leveller,998,800,1500,per day,2025-09-17
EQ000412,Weeder,348,250,600,per day,2025-09-17
EQ000413,Seed Drill,636,400,900,per day,2025-09-17
EQ000414,Leveller,800,800,1500,per day,2025-09-17
EQ000415,Baler,2439,2000,3500,per day,2025-09-17
EQ000416,Thresher,793,600,1200,per day,2025-09-17
EQ000417,Pumpset,390,300,800,per day,2025-09-17
EQ000418,Tractor,1732,1000,2000,per day,2025-09-17
EQ000419,Disc Harrow,710,500,1000,per day,2025-09-17
EQ000420,Cultivator,640,400,900,per day,2025-09-17
EQ000421,Reaper,2029,1500,2500,per day,2025-09-17
EQ000422,Thresher,913,600,1200,per day,2025-09-17
EQ000423,Mulcher,1250,900,1600,per day,2025-09-17
EQ000424,Plough,606,300,800,per day,2025-09-17
EQ000425,Rotavator,573,400,1000,per day,2025-09-17
EQ000426,Seed Drill,534,400,900,per day,2025-09-17
EQ000427,Thresher,830,600,1200,per day,2025-09-17
EQ000428,Disc Harrow,745,500,1000,per day,2025-09-17
EQ000429,Plough,583,300,800,per day,2025-09-17
EQ000430,Weeder,307,250,600,per day,2025-09-17
EQ000431,Disc Harrow,613,500,1000,per day,2025-09-17
EQ000432,Cultivator,553,400,900,per day,2025-09-17
EQ000433,Rotavator,680,400,1000,per day,2025-09-17
EQ000434,Reaper,1708,1500,2500,per day,2025-09-17
EQ000435,Rotavator,706,400,1000,per day,2025-09-17
EQ000436,Leveller,1060,800,1500,per day,2025-09-17
EQ000437,Plough,403,300,800,per day,2025-09-17
EQ000438,Harvester,5021,3000,6000,per day,2025-09-17
EQ000439,Disc Harrow,538,500,1000,per day,2025-09-17
EQ000440,Weeder,363,250,600,per day,2025-09-17
EQ000441,Cultivator,601,400,900,per day,2025-09-17
EQ000442,Tractor,1683,1000,2000,per day,2025-09-17
EQ000443,Harvester,5237,3000,6000,per day,2025-09-17
EQ000444,Leveller,865,800,1500,per day,2025-09-17
EQ000445,Tractor,1718,1000,2000,per day,2025-09-17
EQ000446,Disc Harrow,708,500,1000,per day,2025-09-17
EQ000447,Baler,2616,2000,3500,per day,2025-09-17
EQ000448,Sprayer,311,200,500,per day,2025-09-17
EQ000449,Pumpset,473,300,800,per day,2025-09-17
EQ000450,Mulcher,1184,900,1600,per day,2025-09-17
EQ000451,Cultivator,588,400,900,per day,2025-09-17
EQ000452,Thresher,905,600,1200,per day,2025-09-17
EQ000453,Rotavator,860,400,1000,per day,2025-09-17
EQ000454,Tractor,1790,1000,2000,per day,2025-09-17
EQ000455,Disc Harrow,653,500,1000,per day,2025-09-17
EQ000456,Cultivator,639,400,900,per day,2025-09-17
EQ000457,Rotavator,760,400,1000,per day,2025-09-17
EQ000458,Weeder,520,250,600,per day,2025-09-17
EQ000459,Thresher,799,600,1200,per day,2025-09-17
EQ000460,Harvester,4585,3000,6000,per day,2025-09-17
EQ000461,Weeder,423,250,600,per day,2025-09-17
EQ000462,Seed Drill,647,400,900,per day,2025-09-17
EQ000463,Disc Harrow,648,500,1000,per day,2025-09-17
EQ000464,Disc Harrow,586,500,1000,per day,2025-09-17
EQ000465,Seed Drill,795,400,900,per day,2025-09-17
EQ000466,Weeder,382,250,600,per day,2025-09-17
EQ000467,Sprayer,295,200,500,per day,2025-09-17
EQ000468,Reaper,1821,1500,2500,per day,2025-09-17
EQ000469,Baler,2433,2000,3500,per day,2025-09-17
EQ000470,Sprayer,341,200,500,per day,2025-09-17
EQ000471,Baler,2536,2000,3500,per day,2025-09-17
EQ000472,Pumpset,608,300,800,per day,2025-09-17
EQ000473,Seed Drill,667,400,900,per day,2025-09-17
EQ000474,Thresher,971,600,1200,per day,2025-09-17
EQ000475,Disc Harrow,576,500,1000,per day,2025-09-17
EQ000476,Leveller,1006,800,1500,per day,2025-09-17
EQ000477,Seed Drill,789,400,900,per day,2025-09-17
EQ000478,Thresher,923,600,1200,per day,2025-09-17
EQ000479,Pumpset,565,300,800,per day,2025-09-17
EQ000480,Harvester,5021,3000,6000,per day,2025-09-17
EQ000481,Disc Harrow,727,500,1000,per day,2025-09-17
