equipment_id,equipment_type,rental_price_per_day,min_rental_price,max_rental_price,unit,snapshot_date,Condition,Adjusted_Rental_Price
EQ000191,Weeder,348,250,600,per day,2025-09-17,Good,348.0
EQ000192,Baler,2223,2000,3500,per day,2025-09-17,Needs Repair,1556.1
EQ000193,Disc Harrow,554,500,1000,per day,2025-09-17,Needs Repair,387.8
EQ000194,Power Tiller,817,500,1200,per day,2025-09-17,Good,817.0
EQ000195,Seed Drill,612,400,900,per day,2025-09-17,Good,612.0
EQ000196,Power Tiller,635,500,1200,per day,2025-09-17,Good,635.0
EQ000197,Baler,2517,2000,3500,per day,2025-09-17,Needs Repair,1761.9
EQ000198,Plough,326,300,800,per day,2025-09-17,Needs Repair,228.2
EQ000199,Plough,417,300,800,per day,2025-09-17,Needs Repair,291.9
EQ000200,Tractor,1892,1000,2000,per day,2025-09-17,Needs Repair,1324.4
EQ000201,Weeder,383,250,600,per day,2025-09-17,Good,383.0
EQ000202,Sprayer,306,200,500,per day,2025-09-17,Good,306.0
EQ000203,Pumpset,438,300,800,per day,2025-09-17,Good,438.0
EQ000204,Power Tiller,827,500,1200,per day,2025-09-17,Needs Repair,578.9
EQ000205,Power Tiller,752,500,1200,per day,2025-09-17,Good,752.0
EQ000206,Reaper,2075,1500,2500,per day,2025-09-17,Good,2075.0
EQ000207,Baler,2820,2000,3500,per day,2025-09-17,Good,2820.0
EQ000208,Sprayer,311,200,500,per day,2025-09-17,Good,311.0
EQ000209,Sprayer,398,200,500,per day,2025-09-17,Good,398.0
EQ000210,Disc Harrow,679,500,1000,per day,2025-09-17,Good,679.0
EQ000211,Tractor,2000,1000,2000,per day,2025-09-17,Good,2000.0
EQ000212,Sprayer,315,200,500,per day,2025-09-17,Good,315.0
EQ000213,Harvester,4198,3000,6000,per day,2025-09-17,Good,4198.0
EQ000214,Disc Harrow,703,500,1000,per day,2025-09-17,Good,703.0
EQ000215,Cultivator,502,400,900,per day,2025-09-17,Needs Repair,351.4
EQ000216,Thresher,827,600,1200,per day,2025-09-17,Good,827.0
EQ000217,Pumpset,439,300,800,per day,2025-09-17,Good,439.0
EQ000218,Seed Drill,536,400,900,per day,2025-09-17,Needs Repair,375.2
EQ000219,Seed Drill,845,400,900,per day,2025-09-17,Good,845.0
EQ000220,Tractor,1959,1000,2000,per day,2025-09-17,Needs Repair,1371.3
EQ000221,Mulcher,1260,900,1600,per day,2025-09-17,Good,1260.0
EQ000222,Mulcher,1255,900,1600,per day,2025-09-17,Good,1255.0
EQ000223,Sprayer,340,200,500,per day,2025-09-17,Good,340.0
EQ000224,Tractor,1768,1000,2000,per day,2025-09-17,Good,1768.0
EQ000225,Rotavator,665,400,1000,per day,2025-09-17,Good,665.0
EQ000226,Disc Harrow,768,500,1000,per day,2025-09-17,Good,768.0
EQ000227,Mulcher,1099,900,1600,per day,2025-09-17,Needs Repair,769.3
EQ000228,Rotavator,786,400,1000,per day,2025-09-17,Good,786.0
EQ000229,Thresher,1047,600,1200,per day,2025-09-17,Needs Repair,732.9
EQ000230,Thresher,986,600,1200,per day,2025-09-17,Good,986.0
EQ000231,Baler,2458,2000,3500,per day,2025-09-17,Needs Repair,1720.6
EQ000232,Plough,511,300,800,per day,2025-09-17,Good,511.0
EQ000233,Cultivator,488,400,900,per day,2025-09-17,Good,488.0
EQ000234,Sprayer,200,200,500,per day,2025-09-17,Good,200.0
EQ000235,Weeder,455,250,600,per day,2025-09-17,Good,455.0
EQ000236,Reaper,2161,1500,2500,per day,2025-09-17,Needs Repair,1512.7
EQ000237,Weeder,356,250,600,per day,2025-09-17,Good,356.0
EQ000238,Power Tiller,765,500,1200,per day,2025-09-17,Good,765.0
EQ000239,Rotavator,869,400,1000,per day,2025-09-17,Good,869.0
EQ000240,Cultivator,601,400,900,per day,2025-09-17,Good,601.0
EQ000241,Mulcher,1186,900,1600,per day,2025-09-17,Needs Repair,830.2
EQ000242,Pumpset,559,300,800,per day,2025-09-17,Needs Repair,391.3
EQ000243,Reaper,2024,1500,2500,per day,2025-09-17,Needs Repair,1416.8
EQ000244,Baler,2381,2000,3500,per day,2025-09-17,Good,2381.0
EQ000245,Mulcher,1254,900,1600,per day,2025-09-17,Good,1254.0
EQ000246,Harvester,4188,3000,6000,per day,2025-09-17,Needs Repair,2931.6
EQ000247,Thresher,856,600,1200,per day,2025-09-17,Good,856.0
EQ000248,Leveller,1084,800,1500,per day,2025-09-17,Needs Repair,758.8
EQ000249,Seed Drill,699,400,900,per day,2025-09-17,Needs Repair,489.3
EQ000250,Seed Drill,636,400,900,per day,2025-09-17,Needs Repair,445.2
EQ000251,Baler,2594,2000,3500,per day,2025-09-17,Good,2594.0
EQ000252,Leveller,998,800,1500,per day,2025-09-17,Good,998.0
EQ000253,Pumpset,416,300,800,per day,2025-09-17,Needs Repair,291.2
EQ000254,Baler,3008,2000,3500,per day,2025-09-17,Good,3008.0
EQ000255,Disc Harrow,691,500,1000,per day,2025-09-17,Good,691.0
EQ000256,Rotavator,617,400,1000,per day,2025-09-17,Good,617.0
EQ000257,Reaper,1909,1500,2500,per day,2025-09-17,Needs Repair,1336.3
EQ000258,Plough,381,300,800,per day,2025-09-17,Good,381.0
EQ000259,Seed Drill,567,400,900,per day,2025-09-17,Good,567.0
EQ000260,Baler,2551,2000,3500,per day,2025-09-17,Good,2551.0
EQ000261,Tractor,1869,1000,2000,per day,2025-09-17,Good,1869.0
EQ000262,Cultivator,598,400,900,per day,2025-09-17,Needs Repair,418.6
EQ000263,Plough,589,300,800,per day,2025-09-17,Good,589.0
EQ000264,Weeder,515,250,600,per day,2025-09-17,Good,515.0
EQ000265,Tractor,1947,1000,2000,per day,2025-09-17,Needs Repair,1362.9
EQ000266,Disc Harrow,633,500,1000,per day,2025-09-17,Needs Repair,443.1
EQ000267,Rotavator,678,400,1000,per day,2025-09-17,Good,678.0
EQ000268,Tractor,1695,1000,2000,per day,2025-09-17,Needs Repair,1186.5
EQ000269,Tractor,1645,1000,2000,per day,2025-09-17,Good,1645.0
EQ000270,Tractor,1605,1000,2000,per day,2025-09-17,Good,1605.0
EQ000271,Disc Harrow,774,500,1000,per day,2025-09-17,Needs Repair,541.8
EQ000272,Seed Drill,525,400,900,per day,2025-09-17,Needs Repair,367.5
EQ000273,Thresher,983,600,1200,per day,2025-09-17,Needs Repair,688.1
EQ000274,Seed Drill,631,400,900,per day,2025-09-17,Needs Repair,441.7
EQ000275,Cultivator,658,400,900,per day,2025-09-17,Good,658.0
EQ000276,Tractor,1788,1000,2000,per day,2025-09-17,Good,1788.0
EQ000277,Weeder,403,250,600,per day,2025-09-17,Needs Repair,282.1
EQ000278,Disc Harrow,726,500,1000,per day,2025-09-17,Good,726.0
EQ000279,Plough,462,300,800,per day,2025-09-17,Needs Repair,323.4
EQ000280,Seed Drill,628,400,900,per day,2025-09-17,Needs Repair,439.6
EQ000281,Disc Harrow,757,500,1000,per day,2025-09-17,Needs Repair,529.9
EQ000282,Rotavator,660,400,1000,per day,2025-09-17,Good,660.0
EQ000283,Mulcher,1213,900,1600,per day,2025-09-17,Good,1213.0
EQ000284,Tractor,1800,1000,2000,per day,2025-09-17,Good,1800.0
EQ000285,Pumpset,535,300,800,per day,2025-09-17,Good,535.0
EQ000286,Thresher,769,600,1200,per day,2025-09-17,Good,769.0
EQ000287,Rotavator,844,400,1000,per day,2025-09-17,Good,844.0
EQ000288,Disc Harrow,712,500,1000,per day,2025-09-17,Good,712.0
EQ000289,Plough,460,300,800,per day,2025-09-17,Good,460.0
EQ000290,Sprayer,365,200,500,per day,2025-09-17,Good,365.0
EQ000291,Harvester,3203,3000,6000,per day,2025-09-17,Good,3203.0
EQ000292,Cultivator,646,400,900,per day,2025-09-17,Good,646.0
EQ000293,Plough,531,300,800,per day,2025-09-17,Needs Repair,371.7
EQ000294,Seed Drill,671,400,900,per day,2025-09-17,Good,671.0
EQ000295,Thresher,886,600,1200,per day,2025-09-17,Good,886.0
EQ000296,Leveller,972,800,1500,per day,2025-09-17,Good,972.0
EQ000297,Leveller,855,800,1500,per day,2025-09-17,Needs Repair,598.5
EQ000298,Reaper,1724,1500,2500,per day,2025-09-17,Good,1724.0
EQ000299,Cultivator,624,400,900,per day,2025-09-17,Good,624.0
EQ000300,Cultivator,619,400,900,per day,2025-09-17,Good,619.0
EQ000301,Weeder,405,250,600,per day,2025-09-17,Good,405.0
EQ000302,Disc Harrow,866,500,1000,per day,2025-09-17,Good,866.0
EQ000303,Seed Drill,704,400,900,per day,2025-09-17,Good,704.0
EQ000304,Mulcher,1065,900,1600,per day,2025-09-17,Good,1065.0
EQ000305,Leveller,1156,800,1500,per day,2025-09-17,Needs Repair,809.2
EQ000306,Rotavator,700,400,1000,per day,2025-09-17,Needs Repair,490.0
EQ000307,Seed Drill,674,400,900,per day,2025-09-17,Good,674.0
EQ000308,Harvester,4152,3000,6000,per day,2025-09-17,Good,4152.0
EQ000309,Tractor,2000,1000,2000,per day,2025-09-17,Needs Repair,1400.0
EQ000310,Seed Drill,704,400,900,per day,2025-09-17,Good,704.0
EQ000311,Power Tiller,824,500,1200,per day,2025-09-17,Good,824.0
EQ000312,Tractor,1912,1000,2000,per day,2025-09-17,Good,1912.0
EQ000313,Disc Harrow,754,500,1000,per day,2025-09-17,Good,754.0
EQ000314,Rotavator,707,400,1000,per day,2025-09-17,Needs Repair,494.9
EQ000315,Weeder,422,250,600,per day,2025-09-17,Needs Repair,295.4
EQ000316,Plough,540,300,800,per day,2025-09-17,Good,540.0
EQ000317,Reaper,2200,1500,2500,per day,2025-09-17,Good,2200.0
EQ000318,Sprayer,261,200,500,per day,2025-09-17,Good,261.0
EQ000319,Harvester,4042,3000,6000,per day,2025-09-17,Good,4042.0
EQ000320,Power Tiller,939,500,1200,per day,2025-09-17,Good,939.0
EQ000321,Weeder,348,250,600,per day,2025-09-17,Good,348.0
EQ000322,Mulcher,1096,900,1600,per day,2025-09-17,Needs Repair,767.2
EQ000323,Seed Drill,731,400,900,per day,2025-09-17,Good,731.0
EQ000324,Plough,475,300,800,per day,2025-09-17,Good,475.0
EQ000325,Tractor,1683,1000,2000,per day,2025-09-17,Needs Repair,1178.1
EQ000326,Pumpset,523,300,800,per day,2025-09-17,Needs Repair,366.1
EQ000327,Mulcher,1340,900,1600,per day,2025-09-17,Good,1340.0
EQ000328,Cultivator,806,400,900,per day,2025-09-17,Good,806.0
EQ000329,Mulcher,1118,900,1600,per day,2025-09-17,Good,1118.0
EQ000330,Rotavator,566,400,1000,per day,2025-09-17,Good,566.0
EQ000331,Thresher,643,600,1200,per day,2025-09-17,Good,643.0
EQ000332,Reaper,1713,1500,2500,per day,2025-09-17,Needs Repair,1199.1
EQ000333,Cultivator,647,400,900,per day,2025-09-17,Good,647.0
EQ000334,Sprayer,310,200,500,per day,2025-09-17,Good,310.0
EQ000335,Baler,2418,2000,3500,per day,2025-09-17,Good,2418.0
EQ000336,Harvester,3588,3000,6000,per day,2025-09-17,Good,3588.0
EQ000337,Cultivator,584,400,900,per day,2025-09-17,Needs Repair,408.8
EQ000338,Leveller,939,800,1500,per day,2025-09-17,Needs Repair,657.3
EQ000339,Baler,2943,2000,3500,per day,2025-09-17,Good,2943.0
EQ000340,Seed Drill,540,400,900,per day,2025-09-17,Good,540.0
EQ000341,Thresher,1026,600,1200,per day,2025-09-17,Good,1026.0
EQ000342,Disc Harrow,633,500,1000,per day,2025-09-17,Good,633.0
EQ000343,Sprayer,282,200,500,per day,2025-09-17,Good,282.0
EQ000344,Disc Harrow,502,500,1000,per day,2025-09-17,Good,502.0
EQ000345,Power Tiller,702,500,1200,per day,2025-09-17,Good,702.0
EQ000346,Mulcher,1152,900,1600,per day,2025-09-17,Good,1152.0
EQ000347,Seed Drill,830,400,900,per day,2025-09-17,Good,830.0
EQ000348,Harvester,4069,3000,6000,per day,2025-09-17,Good,4069.0
EQ000349,Harvester,4694,3000,6000,per day,2025-09-17,Good,4694.0
EQ000350,Thresher,896,600,1200,per day,2025-09-17,Good,896.0
EQ000351,Leveller,830,800,1500,per day,2025-09-17,Good,830.0
EQ000352,Thresher,994,600,1200,per day,2025-09-17,Needs Repair,695.8
EQ000353,Thresher,948,600,1200,per day,2025-09-17,Good,948.0
EQ000354,Power Tiller,831,500,1200,per day,2025-09-17,Good,831.0
EQ000355,Cultivator,655,400,900,per day,2025-09-17,Good,655.0
EQ000356,Mulcher,1208,900,1600,per day,2025-09-17,Good,1208.0
EQ000357,Cultivator,713,400,900,per day,2025-09-17,Good,713.0
EQ000358,Mulcher,1270,900,1600,per day,2025-09-17,Good,1270.0
EQ000359,Weeder,413,250,600,per day,2025-09-17,Needs Repair,289.1
EQ000360,Reaper,1859,1500,2500,per day,2025-09-17,Good,1859.0
EQ000361,Leveller,1028,800,1500,per day,2025-09-17,Good,1028.0
EQ000362,Mulcher,992,900,1600,per day,2025-09-17,Good,992.0
EQ000363,Plough,362,300,800,per day,2025-09-17,Good,362.0
EQ000364,Weeder,421,250,600,per day,2025-09-17,Good,421.0
EQ000365,Plough,506,300,800,per day,2025-09-17,Needs Repair,354.2
EQ000366,Sprayer,230,200,500,per day,2025-09-17,Good,230.0
EQ000367,Cultivator,522,400,900,per day,2025-09-17,Needs Repair,365.4
EQ000368,Plough,398,300,800,per day,2025-09-17,Needs Repair,278.6
EQ000369,Sprayer,215,200,500,per day,2025-09-17,Good,215.0
EQ000370,Disc Harrow,697,500,1000,per day,2025-09-17,Good,697.0
EQ000371,Sprayer,357,200,500,per day,2025-09-17,Good,357.0
